"Grab";"Bestattungsnummer";"Bestattungsbezeichnung";"Bestattungsbeschreibung";"Bestattungsmodus";"Bestattungsausrichtung";"Bestattungserhaltung";"Bestattungslage"
2482;2478;"Körperbestattung";"Wohl komplett vergangene Körperbestattung [nach Beigabenlage mit Kopf im W, nach Körperlänge mind. juvenil]";2;7;4;11
2484;2479;"Individuum 1";"Spärliche Skelettreste eines 20-30jährigen Individuums";2;13;3;1
2484;2480;"Individuum";"Einzelner Milchzahn eines 0,5-3jährigen Individuums";2;9;3;11
2490;2481;"Brandbestattung";"Leichenbrand";3;9;3;11
2491;2482;"Brandbestattung";"Verstreuter Leichenbrand";3;9;3;11
2493;2483;"Brandbestattung";"Leichenbrand";3;9;3;11
2494;2484;"Brandbestattung";"Leichenbrandstreuung mit 0,8 m Dm.";3;9;3;11
2495;2485;"Brandbestattung";"Leichenbrand";3;9;3;11
2496;2486;"Brandbestattung";"Leichenbrand";3;9;3;11
2497;2487;"Brandbestattung";"Leichenbrand";3;9;3;11
2498;2488;"Brandbestattung";"Leichenbrand";3;9;3;11
2499;2489;"Brandbestattung";"Leichenbrand";3;9;3;11
2503;2490;"Körperbestattung";"Wenige Zahnreste [nach Länge mind. juvenil]";2;5;3;11
2504;2491;"Körperbestattung";"Sehr schlecht erhaltene Skelettreste";2;9;3;11
2507;2492;"Körperbestattung";"Schlecht erhaltenes Skelett [nach Körperlänge von ca. 1,7 m mind. juvenil; Orientierung nach SSO mit starker Tendenz nach S]";2;13;3;1
2510;2493;"Körperbestattung";"Wohl vergangene Körperbestattung [Orientierung wohl nach S mit Tendenz nach SSO]";2;5;4;11
2511;2494;"Körperbestattung";"Wohl vergangene Körperbestattung [nach Beigaben wohl WSW-orientiert]";2;15;4;11
2512;2495;"Körperbestattung";"Zahnreste";2;13;3;11
2513;2496;"Körperbestattung";"Wohl vollkommen vergangene Körperbestattung";2;13;4;11
2514;2497;"Körperbestattung";"Keine Skelettreste erhalten";2;5;4;11
2519;2498;"Körperbestattung";"Skelett [nach Länge mind. juvenil], angeblich im Schädel im NN0; linker Arm nahezu  rechtwinklig über Bauchgegend gelegt";2;10;3;1
2520;2499;"Körperbestattung";"Skelett [nach Länge von ca. 1,8 m mind. juvenil]";2;13;1;8
2521;2500;"Körperbestattung";"Schlecht erhaltenes Skelett";2;5;3;8
2522;2501;"Körperbestattung";"Gut erhaltenes Skelett [nach Länge von ca. 1,6 m mind. juvenil]";2;13;1;1
2523;2502;"Brandbestattung";"Leichenbrand?";3;9;3;11
2524;2503;"Körperbestattung";"Mäßig erhaltenes Skelett [nach Länge von ca. 1 m wohl nicht älter als infans; Orientierung nach SSO mit Tendenz nach SO]";2;13;2;8
2527;2504;"Körperbestattung";"Schlecht erhaltenes Skelett [Orientierung nach SSO mit starker Tendenz nach S; näch erhaltener Länge wohl infans]";2;13;3;8
2528;2505;"Brandbestattung";"Leichenbrand";3;9;3;11
2529;2506;"Brandbestattung";"Leichenbrand";3;9;3;11
2530;2507;"Brandbestattung";"Leichenbrand";3;9;3;11
2531;2508;"Brandbestattung";"Leichenbrandkonzentration";3;9;3;11
2532;2509;"Brandbestattung";"Leichenbrandhäufchen";3;9;3;11
2533;2510;"Brandbestattung";"Leichenbrand";3;9;3;11
2534;2511;"Brandbestattung";"Leichenbrand";3;9;3;11
2535;2512;"Brandbestattung";"Leichenbrand";3;9;3;11
2536;2513;"1. Skelett";"Schlecht erhaltenes Skelett, 20-40jährig, m?";2;5;3;8
2536;2514;"2. Leichenbrand";"Ausgelesener Leichenbrand, 0-6jährig";3;9;2;6
2537;2515;"Brandbestattung";"Ausgelesener Leichenbrand, 50-70jähriges Individuum, m";3;9;2;8
2538;2516;"Brandbestattung";"Ausgelesener Leichenbrand als Häufchen im SW und verstreut im NO, 14-30jähriges Individuum, w";3;9;3;7
2539;2517;"Brandbestattung";"Leichenbrandsplitter in Gefäß";3;9;3;7
2540;2519;"Körperbestattung";"Mäßig erhaltenes Skelett, erwachsen, w?";2;13;2;8
2541;2520;"Brandbestattung";"Ausgelesener Leichenbrand, in Haufen (0,4 x 0,4 m); 20-40jährig, w??";3;9;3;8
2542;2521;"Brandbestattung";"Ausgelesener Leichenbrand im SW außerhalb der Kohleschicht auf Häufchen und in Kohleschicht verstreut; 20-40jährig, w?";3;9;2;7
2543;2522;"Brandbestattung";"Schlecht erhaltener Leichenbrand, erwachsen, w??";3;9;3;8
2544;2523;"Körperbestattung";"Mäßig erhaltenes Skelett, 50-70jährig, m";2;5;2;8
2544;2524;"Brandbestattung";"Ausgelesener Leichenbrand, beim Skelett, ö der rechten Hand auf Häufchen, evtl. im SW";3;9;3;8
2545;2525;"Brandbestattung";"Leichenbrand, 2-3jährig";3;9;2;11
2546;2527;"Brandbestattung";"Leichenbrandhäufchen, 20-40jährig, w??";3;9;2;8
2547;2528;"Leichenbrand";"Ausgelesener Leichenbrand in Urne; 20-40jährig, m?";3;9;1;7
2548;2529;"Körperbestattung";"Mäßig erhaltenes Skelett, erwachsen, m";2;5;2;7
2549;2530;"Brandbestattung";"Leichenbrand";3;9;3;8
2550;2531;"Brandbestattung";"Ausgelesener Leichenbrand, erwachsen, w??";3;9;2;7
2551;2532;"Bandbestattung";"Ausgelesener Leichenbrand im S auf Haufen, verstreuter Leichenbrand w davon; erwachsen, w??";3;9;3;6
2552;2533;"Brandbestattung";"Gestörte Leichenbrandsplitter";3;9;3;11
2553;2534;"Brandbestattung";"Leichenbrand auf Häufchen; 3-4jährig";3;9;1;2
2554;2535;"Brandbestattung";"Leichenbrand, auf 2 Häufchen verteilt (wahrscheinlich 1 Individuum, evtl. kleineres Häufchen aber auch infantil); 20-40jährig, w??";3;9;2;8
2555;2536;"Brandbestattung";"Ausgelesener Leichenbrand in 2 Häufchen an SW-Wand, außerdem in Scheiterhaufenresten in W-Ecke; wohl 1 Individuum, 20-40jährig, w??";3;9;2;7
2556;2537;"Brandbestattung";"Leichenbrand, ausgelesen, auf Häufchen; 20-30jährig, m";3;9;2;8
2557;2538;"Brandbestattung";"Ausgelesener Leichenbrand an W-Wand und nach N verstreut; 40-60jährig, w??";3;9;3;8
2558;2539;"Brandbestattung";"Ausgelesener Leichenbrand, auf Häufchen; 14-30jährig, w??";3;9;2;1
2559;2540;"Individuum 1";"Ausgelesener Leichenbrand auf Häufchen; 40-60jährig, m";3;9;3;9
2559;2541;"Individuum 2";"Leichenbrand, in Ascheschicht verstreut";3;9;3;6
2560;2542;"Brandbestattung";"Leichenbrand, in Grubenfüllung; 1jährig";3;9;2;11
2561;2543;"Brandbestattung";"Leichenbrand, in der Verfüllung";3;9;2;11
2562;2544;"Brandbestattung";"Ausgelesener Leichenbrand auf Häufchen und in Scheiterhaufenrückständen; 8-12jährig";3;9;2;9
2563;2545;"Brandbestattung";"ausgelesener Leichenbrand in 2 Häufchen in SW-Ecke bzw. an W-Wand, Leichenbrandsplitter in Asche, besonders im NO; adulte oder ältere Frau";3;9;2;7
2564;2546;"Brandbestattung";"Leichenbrand in Verfüllung und auf Häufchen; 2-6jährig";3;9;2;6
2565;2547;"Brandbestattung";"Ausgelesener Leichenbrand, verteilt auf 2 Häufchen auf unterschiedlichem Niveau; 20-40jährig, m";3;9;2;3
2566;2548;"Brandbestattung";"ausgelesener Leichenbrand in 2 verschieden großen Haufen an W-Wand und wenig in Ascheschicht verstreut; jüngere Frau [meint wohl juvenil/frühadult]";3;9;2;8
2567;2549;"Brandbestattung";"Ausgelesener Leichenbrand, 7-19jährig";3;9;2;11
2568;2550;"Brandbestattung";"Leichenbrandhäufchen im N, wenig Leichenbrand in Ascheschicht verstreut; 20-40jährig, w??";3;9;2;2
2569;2551;"Brandbestattung";"ausgelesener Leichenbrandim W auf höher gelegenem Grubenteil und in Aschefüllung; 5-8jährig";3;9;2;8
2570;2552;"Brandbestattung";"In Schüttung verstreuter Leichenbrand; 14-30jährig, w??";3;9;2;11
2571;2553;"Brandbestattung";"ausgelesener Leichenbrand auf Häufchen am s Rand der Störung; erwachsen?";3;9;3;1
2572;2554;"Brandbestattung";"Verstreuter Leichenbrand, 4-10jährig";3;9;3;11
2573;2555;"Brandbestattung";"ausgelesener Leichenbrand auf Asche gehäuft und darin verstreut; 8-12jährig";3;9;2;11
2574;2556;"Brandbestattung";"ausgelesener Leichenbrand auf Häufchen an W-Wand und in Grube verstreut; 1-6jährig?";3;9;2;8
2575;2557;"Brandbestattung";"Leichenbrand, 7-13jährig";3;9;3;11
2576;2558;"Brandbestattung";"ausgelesener Leichenbrand auf Häufchen in SW-Ecke, in Ascheschicht verstreut und aus 'Grabeinfüllung' (wohl 1 Individuum), erwachsene Frau?? [Alter läßt sich wohl noch genauer auf 40-60jährig eingrenzen]";3;7;2;7
2577;2559;"Brandbestattung";"Leichenbrand in Grubenfüllung";3;9;3;11
2578;2560;"Brandbestattung";"Leichenbrand auf Häufchen im SW, verstreut in Ascheschicht, in Urne (evtl. außerhalb der Kammer) und von vermutlichem Verbrennungsplatz; 20-40jährig, w?";3;9;3;7
2579;2561;"Brandbestattung";"Verstreuter Leichenbrand; 3-6jährig";3;9;3;8
2580;2562;"Brandbestattung";"Leichenbrand, 0-1jährig";3;9;3;8
2581;2563;"Individuum 1";"Leichenbrandhäufchen im SW, evtl. verstreuter Leichenbrand zugehörig; 20-40jährig, w?";3;9;3;7
2581;2564;"Individuum 2";"Leichenbrandhäufchen im SW, evtl. verstreuter Leichenbrand zugehörig; 9-13jährig";3;9;3;8
2582;2565;"Brandbestattung";"Leichenbrand in 3 Häufchen in NW-Quadrant und in Asche verstreut; eher erwachsen, w??";3;9;2;9
2583;2566;"Brandbestattung";"Leichenbrandstreuung [evtl. Häufchen vermutlich zerstört]; 7-13jährig";3;9;3;11
2584;2567;"Brandbestattung";"Anthropologische Untersuchung unsicher, evtl. 2 Individuen (m + w); eher aber 1 Individuum, 60-70jährig, m?";3;9;2;7
2585;2568;"Brandbestattung";"Leichenbrandhäufchen im NO; 20-40jährig, w?";3;9;2;3
2586;2569;"Brandbestattung";"ausgelesener Leichenbrand auf Häufchen im NO und in Urne im NW und in Asche verstreut (nach anthropologischer Bestimmung 1 Individuum (20-40jährig, w?) [nach Leichenbrandmenge und Befundlage erscheint das aber eher unwahrscheinlich])";3;9;3;11
2587;2570;"Individuum 1";"Leichenbrand, verstreut und im Leichenbrandhaufen im W; 4-5jährig [ca. 100g]";3;9;3;8
2587;2571;"Individuum 2";"Leichenbrand, im Haufen im W [nach Kunter sowohl männliche als auch weibliche Merkmale, bei Alterseinschätzung von 40-60jährig; nach Abzug des infantilen Individuums mehr als genug Leichenbrand für 2 Individuen, hier hälftig aufgeteilt]";3;9;3;8
2587;2572;"Individuum 3";"Leichenbrand, im Haufen im W [nach Kunter sowohl männliche als auch weibliche Merkmale, bei Alterseinschätzung von 40-60jährig; nach Abzug des infantilen Individuums mehr als genug Leichenbrand für 2 Individuen, hier hälftig aufgeteilt]";3;9;3;8
2588;2573;"Brandbestattung";"Verstreuter Leichenbrand";3;9;3;11
2589;2574;"Brandbestattung";"Leichenbrandhäufchen im N; 0-1jährig";3;9;3;2
2590;2575;"Körperbestattung";"Skelett [nach Länge von 1,7 m mind. juvenil]";2;9;3;11
2591;2576;"Brandbestattung";"Leichenbrand, 20-40jährig, m?";3;9;1;6
2592;2577;"Brandbestattung";"Leichenbrand in Urne; 20-40jährig, w??";3;9;2;11
2593;2578;"Brandbestattung";"Leichenbrand; erwachsen, m?";3;9;3;11
2594;2579;"Brandbestattung";"Leichenbrand, 40-60jährig, m?";3;9;2;11
2596;2582;"Körperbestattung";"Mäßig erhaltenes Skelett; matur (senil?); nach postkranialem Skelett eher weiblich, nach Schädel eher männlich";2;4;2;5
2597;2584;"Brandbestattung";"Leichenbrand";3;9;3;11
2598;2585;"Brandbestattung";"Leichenbrand";3;9;3;11
2599;2586;"Brandbestattung";"Leichenbrand";3;9;3;11
2600;2587;"Körperbestattung";"Nur durch Oberarmknochen belegt";2;9;3;11
2601;2588;"Brandbestattung";"Leichenbrand, wohl in organischem Behältnis";3;9;3;11
2602;2589;"Brandbestattung";"Leichenbrand";3;9;3;11
2603;2590;"Brandbestattung";"Leichenbrand";3;9;3;11
2604;2591;"Brandbestattung";"Leichenbrand";3;9;3;11
2606;2592;"Brandbestattung";"Leichenbrand";3;9;3;11
2607;2593;"Körperbestattung";"Wenige Knochenreste";2;9;3;11
2608;2594;"Brandbestattung";"Ausgelesener Leichenbrand";3;9;3;11
2609;2595;"Brandbestattung";"Mit Holzkohle vermischter Leichenbrand";3;9;3;11
2610;2596;"Brandbestattung";"Leichenbrand";3;9;3;11
2611;2597;"Körperbestattung";"Wenige Knochensplitter";2;5;3;1
2612;2599;"Körperbestattung";"Nur in Spuren nachweisbares Skelett [dazu kommt, daß Bestattung nach Text mit Kopf im S liegt, nach Photo aber eindeutig im O]";2;9;3;11
2613;2600;"Brandbestattung";"Leichenbrand";3;9;3;9
2614;2601;"Brandbestattung";"Leichenbrandspuren";3;9;3;11
2615;2602;"Brandbestattung";"Leichenbrandkonzentration";3;9;2;11
2617;2603;"Grave 4";"Zu vermutendes w Individuum, keine Skelettreste erhalten";2;7;4;8
2617;2604;"Grave 5";"Ö Individuum, wenige Skelettreste";2;3;3;4
2618;2605;"Körperbestattung";"Schlecht erhaltenes Skelett";2;7;3;11
2619;2606;"Körperbestattung";"[Skeletterhaltung?]";2;3;3;11
2620;2607;"Körperbestattung";"[Skelettreste?]";2;3;3;11
2621;2608;"Körperbestattung";"Offensichtlich keine Skelettreste erhalten";2;13;4;11
2622;2609;"Körperbestattung";"Wenig Knochenreste";2;5;3;11
2623;2610;"Körperbestattung";"Offensichtlich keine Skelettreste erhalten; nach Lage der Armringe Hände evtl. in Beckenregion liegend; nach Beigabenlage kindlich";2;14;4;11
2625;2611;"Körperbestattung";"Wenige Zahnreste";2;5;3;11
2626;2612;"Körperbestattung";"Keine Skelettreste";2;6;4;11
2627;2613;"Körperbestattung";"Zahnreste [nach Kammergröße Kindergrab]";2;5;3;11
2628;2614;"Individuum 1";"Leichenbrand einer Frau [also wohl erwachsen]";3;9;3;11
2628;2615;"Individuum 2";"Leichenbrand eines Kindes";3;9;3;11
2629;2616;"Körperbestattung";"Relativ gut erhaltenes Skelett [nach Länge und Verknöcherung der Diaphysen mind. juvenil; nach Text und Nordpfeil Ausrichtung eher SSO, nach Plan SO]";2;4;2;1
2631;2617;"Brandbestattung";"Leichenbrand, in 3 Gefäßen";3;9;3;11
2632;2618;"Körperbestattung";"Leidlich erhaltenes Skelett";2;13;2;11
2633;2619;"Körperbestattung";"Relativ gut erhaltenes Skelett [Orientierung nach SSO mit sehr starker Tendenz nach SO; nach L. mind. juvenil]";2;13;2;1
2634;2620;"Brandbestattung";"Leichenbrand in Grubenfüllung [weiterer Leichenbrand in Keramikgefäßen?]";3;9;3;11
2636;2622;"Körperbestattung";"Körperbestattung [Erhaltung?]";2;9;5;11
2637;2623;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2638;2624;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2639;2625;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2640;2626;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2641;2627;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2642;2628;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2643;2629;"Körperbestattung";"Skelett [Erhaltung?]";2;9;5;11
2644;2630;"Körperbestattung";"Wenige verlagerte Skelettreste";2;9;3;11
2645;2631;"Körperbestattung";"Leidlich erhaltenes Skelett [nach L. von mind. 1,6 m mind. juvenil]";2;5;2;1
2646;2632;"Körperbestattung";"Stücke vor allem vom Schädel; mänlich?, matur";2;9;3;11
2648;2633;"Körperbestattung";"Schädelbruchstück; erwachsen (senil?) [Orientierung angeblich nach SW, wegen Störung aber unsicher]";2;9;3;11
2649;2634;"Körperbestattung";"Stark gestörtes Skelett, wahrscheinlich eher weiblich, 20-30jährig";2;9;3;11
2651;2635;"Brandbestattung";"Leichenbrand in Urne; eher weiblich, 20-40jährig";3;9;2;11
2652;2636;"Brandbestattung";"Leichenbrand in Urne;; männlich, ca. 50jährig";3;9;2;11
2653;2637;"Brandbestattung";"Sehr wenig Leichenbrand";3;9;3;11
2654;2638;"Brandbestattung";"Leichenbrandreste";3;9;3;11
2655;2639;"Brandbestattung";"Leichenbrand,in Teller/Schale";3;9;3;11
2657;2640;"Körperbestattung";"Gestörte Skelettreste";2;9;3;11
2658;2641;"Körperbestattung";"Skelettreste";2;9;3;11
2659;2642;"Körperbestattung";"Geringe Skelettreste";2;9;3;11
2660;2643;"Körperbestattung";"Skelettreste";2;9;3;11
2661;2644;"Körperbestattung";"Gut erhaltenes Skelett [Orientierung etc.?]; Kind";2;9;3;11
2662;2645;"Körperbestattung";"Wohl vollkommen vergangenes Skelett";2;9;4;11
2663;2646;"Körperbestattung?";"Skelett [Erhaltung?]";2;9;3;11
2664;2647;"Brandbestattung";"Leichenbrand, in Scheiterhaufenresten";3;9;3;11
2665;2649;"Brandbestattung";"Leichenbrand [Erhaltung?]";3;9;3;11
2666;2648;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
2667;2650;"Brandbestattung";"Leichenbrandsplitter";3;9;3;11
2668;2651;"Brandbestattung";"Leichenbrandsplitter";3;9;3;11
2669;2652;"Brandbestattung";"Leichenbrand in Scheiterhaufenresten";3;9;3;11
2670;2653;"Brandbestattung";"Leichenbrand, in Urne und in Scheiterhaufenrückständen";3;9;3;3
2671;2654;"Brandbestattung";"Leichenbrand, bei Keramik konzentriert und in Scheiterhaufenrückständen";3;9;3;11
2672;2655;"Körperbestattung";"Vollkommen vergangenes Skelett";2;9;4;11
2673;2656;"Körperbestattung?";"Komplett vergangenes Skelett";2;9;4;11
2674;2657;"Körperbestattung?";"Wohl vergangenes Skelett";2;9;4;11
2677;2658;"Körperbestattung";"Skelett [Erhaltung?]";2;13;3;11
2679;2659;"Körperbestattung";"Mäßig erhaltenes Skelett, Hände in Beckengegend zusammengelegt; männlich, 30jährig";2;13;1;8
2680;2660;"Brandbestattung";"Leichenbrand";3;9;3;11
2681;2661;"Körperbestattung";"Skelett [Erhaltung?; angeblich W-O-ausgerichtet]";2;9;3;11
2682;2662;"Körperbestattung";"Stark gestörtes Skelett";2;9;3;11
2687;2668;"Körperbestattung";"Nur in Spuren erhaltenes Skelett, rechter Arm zum Körper angewinkelt; nach Baitinger erwachsen und SW-NO-orientiert";2;9;3;11
2689;2673;"Brandbestattung";"Ausgestreuter Leichenbrand";3;9;3;11
2690;2674;"Brandbestattung";"wenig Leichenbrand";3;9;3;7
2693;2675;"Körperbestattung";"Skelett [Erhaltung?; angeblich O-W-ausgerichtet]";2;9;3;11
2694;2676;"Körperbestattung";"einzelner Knochen";2;9;3;11
2695;2677;"Brandbestattung";"Leichenbrand [Häufchen?]";3;9;3;6
2698;2679;"Brandbestattung";"Leichenbrand, stark gestört; 20-30jährig, evtl. weiblich";3;9;3;11
2699;2680;"Körperbestattung";"Skelettreste [Orientierung nach S mit starker Tendenz nach SSO]; angeblich eher weiblich, erwachsen";2;5;3;11
2700;2681;"Körperbestattung";"Schlecht erhaltenes Skelett, angeblich jugendlich";2;5;3;1
2703;2683;"Brandbestattung";"Leichenbrand";3;9;3;8
2704;2684;"Körperbestattung?";"Keine Skelettreste erhalten";2;13;4;11
2705;2685;"Körperbestattung";"Wenige Skelett- und Zahnreste; zumindest linker Unterarm offensichtlich über Brust angewinkelt [nach L. mind. juvenil]";2;13;2;1
2706;2686;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
2707;2687;"Körperbestattung";"Gestörtes Skelett [angeblich SSO-NNW-orientiert]";2;13;3;4
2708;2688;"Brandbestattung";"Leichenbrand in Urne";3;9;2;11
2709;2689;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
2710;2691;"Brandbestattung";"Leichenbrand [wohl in Keramikgefäß]";3;9;3;11
2711;2692;"Körperbestattung";"Skelett [Erhaltung?]";2;9;3;11
2713;2694;"Körperbestattung";"Skelettreste";2;9;3;11
2714;2695;"111";"Schädel- und Skelettfragmente; weiblich, 20-25jährig";2;9;3;11
2716;2696;"Körperbestattung";"Skelettreste";2;12;3;11
2717;2698;"Körperbestattung";"Schädel; wahrscheinlich männlich, Ende 30jährig";2;9;3;11
2719;2700;"38";"Schädelfragmente; männlich, matur (über 50jährig)";2;6;3;11
2720;2702;"40";"Skelett- und Schädelfragmente; wahrscheinlich weiblich, um 25 Jahre";2;9;3;11
2721;2703;"39";"Schädel- und Skelettfragmente; weiblich, 30-40jährig";2;3;3;11
2722;2704;"Körperbestattung";"Skelett";2;3;3;11
2723;2705;"Körperbestattung";"Kinderskelett?";2;9;3;11
2724;2706;"Körperbestattung";"Knochenreste";2;9;3;11
2726;2707;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
2727;2708;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
2730;2709;"Brandbestattung";"Leichenbrand";3;9;3;11
2731;2710;"Brandbestattung";"Leichenbrand, offensichtlich im S ausgestreut";3;9;3;6
2732;2711;"Brandbestattung";"""Zarter Leichenbrand"" [kindlich?]";3;9;3;11
2733;2712;"Brandbestattung";"Leichenbrandhäufchen";3;9;3;11
2734;2714;"Brandbestattung";"Leichenbrand eines wohl erwachsenen Individuums";3;9;3;11
2735;2715;"Brandbestattung";"Leichenbrand in Urne";3;9;2;11
2736;2716;"Brandbestattung";"Leichenbrand in Urne";3;9;2;11
2737;2717;"Brandbestattung";"Leichenbrand in Urne";3;9;3;11
2738;2718;"Körperbestattung";"Skelett [angeblich weiblich, erwachsen, SO-orientiert]";2;9;3;11
2739;2719;"Brandbestattung";"Leichenbrandhäufchen [nach Hoppe wohl erwachsen]";3;9;3;1
2741;2720;"Körperbestattung";"Fast vollständig vergangene Körperbestattung";2;9;3;11
2743;2722;"Brandbestattung";"Leichenbrand";3;9;3;11
2744;2723;"Individuum 1";"Leichenbrand eines Erwachsenen";3;9;3;11
2744;2724;"Individuum 2";"Leichenbrand eines Kindes";3;9;3;11
2745;2725;"Brandbestattung";"Leichenbrand";3;9;3;11
2746;2726;"Brandbestattung";"Kleines Leichenbrandvorkommen ö der Gefäße, größeres sw";3;9;3;7
2747;2727;"Körperbestattung";"Skelettreste";2;15;3;11
2748;2728;"Brandbestattung";"Leichenbrandstreuung im O";3;9;3;4
2748;2729;"Körperbestattung";"Skelettreste";2;13;3;8
2749;2730;"Körperbestattung";"Skelett [Orientierung wohl nach S mit Tendenz nach SSO]";2;5;3;11
2750;2731;"Körperbestattung";"Skelett";2;7;3;11
2751;2732;"Körperbestattung";"Skelettreste [nach L. von ca. 1,65 mind. juvenil]";2;9;3;8
2754;2733;"Körperbestattung";"Skelettreste";2;12;3;11
2755;2734;"Körperbestattung";"Skelettreste";2;14;3;1
2758;2736;"Körperbestattung";"Skelettreste";2;8;3;11
2759;2737;"Körperbestattung";"Skelettreste [nach L. wohl mind. juvenil]";2;7;3;11
2764;2738;"Körperbestattung";"Skelettreste";2;15;3;11
2771;2739;"Körperbestattung";"Skelettreste";2;12;3;1
2772;2740;"Körperbestattung";"Skelettreste";2;5;3;1
2773;2741;"Körperbestattung";"Skelettreste";2;7;3;11
2774;2742;"Körperbestattung";"Skelettreste";2;1;3;11
2775;2743;"Körperbestattung";"Gut erhaltenes Skelett, angeblich ""Hände auf dem Bauch vereinigt""";2;5;2;1
2776;2744;"Körperbestattung";"Wenige Schädelreste";2;3;3;1
2777;2745;"Körpberbestattung";"Skelett einer 20-25jährigen Frau, unter dem Gürtelblech Knochenreste eines ungeborenen 6-7 Monate alten Fetus; rechter Arm in Bauchgegend rechtwinklig angewinkelt [Orientierung laut schematischem Plan nach SO, nach Photo nach SSO]";2;13;1;11
2778;2746;"Brandbestattung";"Leichenbrandstreuung";3;9;2;3
2779;2747;"Brandbestattung";"Leichenbrand [Häufung? Streuung?]";3;9;2;11
2780;2849;"Brandbestattung";"Leichenbrandhäufchen (Dm. 0,4 x 0,4 m); weiblich, 20-40jährig";3;9;1;7
2781;2748;"Brandbestattung";"Leichenbrand, offenbar im NW gehäuft";3;9;3;9
2782;2749;"Körperbestattung";"Gestörte Skelettreste eines 20-30jährigen, männlichen, ca. 1,8 m großen Individuums";2;9;3;11
2783;2750;"Körperbestattung";"Geringe Skelettrete";2;10;3;11
2785;2751;"Brandbestattung";"Leichenbrandhäufchen";3;9;3;11
2786;2752;"45";"Skelett, anscheinend weiblich, matur (bis senil)";2;10;2;4
2787;2753;"Brandbestattung";"Leichenbrand";3;9;3;11
2788;2754;"Brandbestattung";"Leichenbrandhäufchen";3;9;3;11
2789;2755;"Brandbestattung";"Leichenbrandhäufchen";3;9;3;11
2790;2756;"Körperbestattung";"Verstreute Skelettreste, wohl adultes, männliches Individuum";2;9;3;8
2792;2757;"Brandbestattung";"""Leichenbrandschüttung"" eines erwachsenen, eher weiblichen Individuum";3;9;3;11
2794;2759;"Körperbestattung";"Erwachsenes, eher weibliches Skelett";2;9;3;11
2795;2760;"Brandbestattung";"""Leichenbrandschüttung"" in/auf Brandschicht, ferner Leichenbrand in 2 Gefäßen";3;9;3;11
2796;2761;"Brandbestattung";"""Leichenbrandschüttung""";3;9;3;11
2797;2762;"Körperbestattung";"Gut erhaltenes Skelett [wohl mind. juvenil nach L.]";2;5;1;8
2798;2763;"Körperbestattung";"gut erhaltenes Skelett mit reichem Trachtschmuck und bis zu den Schultern hochgebogenen Armen [dürfte nur durch Fesselung zu erreichen gewesen sein; nach L. mind. juvenil]";2;5;1;8
2799;2764;"Brandbestattung";"Leichenbrand in Scheiterhaufenrückständen und Urne; 1 Individuum, eher männlich, 30-50jährig";3;9;1;3
2800;2765;"Körperbestattung";"Skelett in Rückenlage, dessen Oberkörper und Beine in leichtem Winkel zueinander liegen [Kammer zu klein? Ausrichtung nach S mit Tendenz nach SSO], rechter Arm in Beckenregion";2;5;2;8
2801;2766;"Brandbestattung";"Leichenbrandhäufchen von 0,5 x 0,5 m Ausdehnung im SW";3;9;2;7
2802;2767;"Brandbestattung";"Leichenbrandhäufchen";3;9;2;8
2803;2768;"Brandbestattung";"Leichenbrandhäufchen im Zentrum und an W-Wand";3;9;3;1
2804;2769;"Brandbestattung";"""Leichenbrandschüttung""";3;9;3;11
2806;2770;"Körperbestattung";"Skelett einer juvenilen bis frühadulten Frau";2;14;2;11
2807;2771;"Individuum 1";"Leichenbrand eines erwachsenen, eher weiblichen Individuums";3;9;3;11
2807;2772;"Individuum 2";"Leichenbrand eines Kindes";3;9;3;11
2808;2773;"Brandbestattung";"Leichenbrand einer Individuums, inf. II - juvenil";3;9;2;11
2809;2774;"Brandbestattung";"Leichenbrand in Urne und daneben";3;9;3;11
2810;2775;"W Skelett";"Skelett einer erwachsenen Frau, in Beckengegend Reste eines 9-10monatigen Fetus; Unterarme lagen verschränkt unter dem Becken";2;6;3;8
2811;2776;"Brandbestattung";"Brandbestattung";3;9;3;11
2812;2777;"Körperbestattung";"Skelettreste eines 3monatigen Säuglings";2;9;3;11
2813;2778;"Brandbestattung";"Leichenbrand, 20-40jährig";3;9;3;11
2814;2779;"Brandbestattung";"Leichenbrand eines 50-70jährigen Mannes; in umgedrehter Urne und Grubenverfüllung";3;9;1;1
2815;2780;"Brandbestattung";"Leichenbrand in Grubenverfüllung";3;9;3;11
2816;2781;"Brandbestattung";"Leichenbrand eines 20-40järhigen Mannes";3;9;3;2
2817;2782;"Brandbestattung";"Leichenbrand eines 30-40jährigen Mannes";3;9;2;1
2818;2783;"Brandbestattung";"Leichenbrand, 60-80jährig, Tendenz männlich";3;9;2;1
